Train 1008 ảnh | Test 12 ảnh
Nạp SAM2.1@1024 trên cuda ...
Số tham số train: 4.22M
Trích đặc trưng encoder cho train (BATCH GPU=8, workers=16)...
Mẫu train (cụm u): 1871
Nhóm kích thước: [((1824, 2736), 1840), ((2736, 1824), 31)] | batch=32
[epoch 0] zero-shot test Dice = 0.9580
[epoch 1] train_loss=0.1049 | test Dice=0.9529  *best-FT -> lưu
[epoch 2] train_loss=0.0978 | test Dice=0.9595  *best-FT -> lưu
[epoch 3] train_loss=0.0899 | test Dice=0.9529
[epoch 4] train_loss=0.0894 | test Dice=0.9547
[epoch 5] train_loss=0.0858 | test Dice=0.9602  *best-FT -> lưu
[epoch 6] train_loss=0.0835 | test Dice=0.9627  *best-FT -> lưu
[epoch 7] train_loss=0.0830 | test Dice=0.9516
[epoch 8] train_loss=0.0811 | test Dice=0.9540
[epoch 9] train_loss=0.0804 | test Dice=0.9503
[epoch 10] train_loss=0.0769 | test Dice=0.9518
[epoch 11] train_loss=0.0767 | test Dice=0.9514
[epoch 12] train_loss=0.0740 | test Dice=0.9502
[epoch 13] train_loss=0.0736 | test Dice=0.9441
[epoch 14] train_loss=0.0746 | test Dice=0.9472
[epoch 15] train_loss=0.0729 | test Dice=0.9464
[epoch 16] train_loss=0.0710 | test Dice=0.9406
[epoch 17] train_loss=0.0719 | test Dice=0.9482
[epoch 18] train_loss=0.0679 | test Dice=0.9438
[epoch 19] train_loss=0.0682 | test Dice=0.9460
[epoch 20] train_loss=0.0683 | test Dice=0.9468
[epoch 21] train_loss=0.0663 | test Dice=0.9543
[epoch 22] train_loss=0.0657 | test Dice=0.9517
[epoch 23] train_loss=0.0647 | test Dice=0.9350
[epoch 24] train_loss=0.0655 | test Dice=0.9469
[epoch 25] train_loss=0.0658 | test Dice=0.9508
[epoch 26] train_loss=0.0633 | test Dice=0.9511
[epoch 27] train_loss=0.0625 | test Dice=0.9357
[epoch 28] train_loss=0.0609 | test Dice=0.9449
[epoch 29] train_loss=0.0617 | test Dice=0.9455
[epoch 30] train_loss=0.0604 | test Dice=0.9438
[epoch 31] train_loss=0.0601 | test Dice=0.9421
[epoch 32] train_loss=0.0595 | test Dice=0.9509
[epoch 33] train_loss=0.0597 | test Dice=0.9407
[epoch 34] train_loss=0.0588 | test Dice=0.9423
[epoch 35] train_loss=0.0571 | test Dice=0.9403
[epoch 36] train_loss=0.0567 | test Dice=0.9442
[epoch 37] train_loss=0.0557 | test Dice=0.9424
[epoch 38] train_loss=0.0549 | test Dice=0.9459
[epoch 39] train_loss=0.0570 | test Dice=0.9487
[epoch 40] train_loss=0.0567 | test Dice=0.9490
[epoch 41] train_loss=0.0543 | test Dice=0.9454
[epoch 42] train_loss=0.0533 | test Dice=0.9456
[epoch 43] train_loss=0.0533 | test Dice=0.9527
[epoch 44] train_loss=0.0541 | test Dice=0.9440
[epoch 45] train_loss=0.0529 | test Dice=0.9452
[epoch 46] train_loss=0.0521 | test Dice=0.9497
[epoch 47] train_loss=0.0518 | test Dice=0.9432
[epoch 48] train_loss=0.0506 | test Dice=0.9475
[epoch 49] train_loss=0.0494 | test Dice=0.9452
[epoch 50] train_loss=0.0501 | test Dice=0.9408
[epoch 51] train_loss=0.0488 | test Dice=0.9444
[epoch 52] train_loss=0.0491 | test Dice=0.9510
[epoch 53] train_loss=0.0486 | test Dice=0.9452
[epoch 54] train_loss=0.0482 | test Dice=0.9468
[epoch 55] train_loss=0.0471 | test Dice=0.9462
[epoch 56] train_loss=0.0476 | test Dice=0.9470
[epoch 57] train_loss=0.0492 | test Dice=0.9463
[epoch 58] train_loss=0.0481 | test Dice=0.9451
[epoch 59] train_loss=0.0461 | test Dice=0.9436
[epoch 60] train_loss=0.0457 | test Dice=0.9532

Xong. zero-shot Dice=0.9580 | BEST fine-tuned Dice=0.9627 (VƯỢT zero-shot)
Checkpoint LƯU: /home/hvusynh2/nguyenduong/MedSAM2 a/MedSAM2/checkpoints/sam2.1_rcc_ft.pt (epoch test-Dice cao nhất) | log: /home/hvusynh2/nguyenduong/MedSAM2 a/MedSAM2/results/finetune_log.csv
