Batch: 550 ảnh từ eval_boxes_550.csv
[ok] SS21-40580^2021_06_30_14_25_46^^.jpg | 1 box | u=13702px (0.3% ảnh) -> eval_masks_550/SS21-40580^2021_06_30_14_25_46^^.png
[ok] SS21-40589^2021_07_01_08_35_56^^.jpg | 1 box | u=149906px (3.0% ảnh) -> eval_masks_550/SS21-40589^2021_07_01_08_35_56^^.png
[ok] SS21-42051^2021_07_07_08_33_55^^.jpg | 1 box | u=170841px (3.4% ảnh) -> eval_masks_550/SS21-42051^2021_07_07_08_33_55^^.png
[ok] SS21-42371^2021_07_07_16_11_23^^.jpg | 1 box | u=88882px (1.8% ảnh) -> eval_masks_550/SS21-42371^2021_07_07_16_11_23^^.png
[ok] SS21-42510^2021_07_09_10_15_06^^.jpg | 1 box | u=22990px (0.5% ảnh) -> eval_masks_550/SS21-42510^2021_07_09_10_15_06^^.png
[ok] SS21-42835^2021_07_09_08_52_52^^.jpg | 1 box | u=33141px (0.7% ảnh) -> eval_masks_550/SS21-42835^2021_07_09_08_52_52^^.png
[ok] SS21-42835^2021_07_12_07_49_31^^.jpg | 1 box | u=92014px (1.8% ảnh) -> eval_masks_550/SS21-42835^2021_07_12_07_49_31^^.png
[ok] SS21-43481^2021_07_14_07_52_16^^.jpg | 1 box | u=56841px (1.1% ảnh) -> eval_masks_550/SS21-43481^2021_07_14_07_52_16^^.png
[ok] SS21-43484^2021_07_14_07_53_04^^.jpg | 1 box | u=169804px (3.4% ảnh) -> eval_masks_550/SS21-43484^2021_07_14_07_53_04^^.png
[ok] SS21-43484^2021_07_14_14_02_46^^.jpg | 1 box | u=118716px (2.4% ảnh) -> eval_masks_550/SS21-43484^2021_07_14_14_02_46^^.png
[ok] SS21-44234^2021_07_15_13_40_24^^.jpg | 1 box | u=548036px (11.0% ảnh) -> eval_masks_550/SS21-44234^2021_07_15_13_40_24^^.png
[ok] SS21-44745^2021_07_16_16_24_56^^.jpg | 1 box | u=274420px (5.5% ảnh) -> eval_masks_550/SS21-44745^2021_07_16_16_24_56^^.png
[ok] SS21-45063^2021_07_19_15_44_32^^.jpg | 1 box | u=179600px (3.6% ảnh) -> eval_masks_550/SS21-45063^2021_07_19_15_44_32^^.png
