epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.027,1.47639,4.61819,1.75637,0.35308,0.33333,0.26273,0.14413,1.86468,3.24883,2.51116,0.000661202,0.000661202,0.000661202
2,132.725,1.64619,2.44371,1.92247,0.44628,0.32292,0.32096,0.17614,2.01228,2.862,2.64946,0.00131144,0.00131144,0.00131144
3,198.778,1.70681,2.39856,1.95024,0.24505,0.33333,0.2031,0.08705,2.07133,3.06825,2.52107,0.00194517,0.00194517,0.00194517
4,263.747,1.69136,2.17259,1.95485,0.31033,0.20833,0.22733,0.11949,2.09342,3.82134,2.36283,0.00192575,0.00192575,0.00192575
5,327.394,1.67256,2.14311,1.92613,0.619,0.40625,0.38819,0.2028,1.92623,2.69265,2.22827,0.001901,0.001901,0.001901
6,393.904,1.68536,2.16566,1.92557,0.55227,0.29167,0.38252,0.21303,1.79345,2.32651,2.20271,0.00187625,0.00187625,0.00187625
7,459.655,1.6373,2.04993,1.85854,0.4907,0.39145,0.36727,0.19501,1.85954,2.4376,2.17421,0.0018515,0.0018515,0.0018515
8,524.348,1.57226,1.96476,1.81223,0.50017,0.42708,0.37922,0.20052,1.81553,2.29789,2.20024,0.00182675,0.00182675,0.00182675
9,589.752,1.60082,1.95919,1.85622,0.43147,0.39529,0.39889,0.24966,1.63626,2.33978,2.08389,0.001802,0.001802,0.001802
10,661.968,1.52505,1.93178,1.79126,0.50985,0.30208,0.33726,0.21113,1.69975,2.22657,2.01375,0.00177725,0.00177725,0.00177725
11,731.374,1.53816,1.90437,1.806,0.6825,0.42547,0.48635,0.27862,1.62607,2.11054,2.01373,0.0017525,0.0017525,0.0017525
12,796.822,1.44203,1.8254,1.71348,0.41888,0.46875,0.41958,0.25557,1.66752,2.17591,2.13077,0.00172775,0.00172775,0.00172775
13,862.09,1.52817,1.91573,1.82432,0.53477,0.42708,0.47403,0.26974,1.60856,2.09785,1.98054,0.001703,0.001703,0.001703
14,927.224,1.54255,1.91717,1.77572,0.54852,0.44792,0.45915,0.27919,1.63879,2.11232,2.08551,0.00167825,0.00167825,0.00167825
15,993.818,1.4062,1.74496,1.68618,0.60575,0.4375,0.48245,0.30596,1.46653,1.97068,1.91284,0.0016535,0.0016535,0.0016535
