stem,dice_detector,hd95,n_box,n_obj,dice_old_cellbox_zs
SS21-35913^2021_06_11_07_40_56^^,0.3657,647.41,5,1,0.0
SS21-37921^2021_06_18_09_11_32^^,0.5224,477.18,7,1,0.7897
SS21-38563^2021_06_23_11_54_40^^,0.36,178.77,8,1,0.0068
SS21-38576^2021_06_23_07_44_22^^,0.1815,1005.0,9,1,0.4739
SS21-38745^2021_06_22_15_45_07^^,0.9202,65.9,4,1,0.9217
SS21-40575^2021_07_01_07_44_16^^,0.5402,568.42,11,2,0.5483
SS21-40772^2021_06_30_15_43_25^^,0.993,2.32,5,1,0.9917
SS21-41209^2021_07_02_09_01_22^^,0.8547,253.25,6,1,0.9945
SS21-42826^2021_07_09_08_20_44^^,0.0445,382.88,2,1,0.0402
SS21-42835^2021_07_09_08_52_52^^,0.0242,1176.92,7,1,0.0
SS21-42835^2021_07_12_07_49_31^^,0.2175,853.77,8,1,0.4706
SS21-43481^2021_07_14_07_51_58^^,0.1991,1055.69,9,2,0.0011
SS21-43481^2021_07_14_07_52_16^^,0.1562,1069.31,5,1,0.0
SS21-43484^2021_07_13_09_29_24^^,0.0,942.24,2,2,0.1882
SS21-43484^2021_07_14_07_53_04^^,0.3344,960.11,3,1,0.2494
SS21-43863^2021_07_15_15_51_38^^,0.5336,428.78,8,3,0.7276
SS21-45063^2021_07_19_15_44_32^^,0.9762,77.53,7,1,0.9968
SS21-45774^2021_07_22_08_22_02^^,0.1526,231.03,4,1,0.096
SS21-49019^2021_08_06_09_30_04^^,0.3091,782.93,7,1,0.4178
SS21-49161^2021_08_06_07_29_12^^,0.5446,1664.54,5,1,0.1437
SS21-49875^2021_08_10_07_39_45^^,0.8378,115.29,5,2,0.3693
SS21-50308^2021_08_11_09_07_21^^,0.9696,29.72,6,1,0.975
SS21-50526^2021_08_13_08_31_07^^,0.8831,165.33,6,1,0.9394
SS21-51288^2021_08_16_11_26_34^^,0.6287,172.66,7,2,0.1844
SS21-51386^2021_08_17_09_15_10^^,0.6856,249.13,3,3,0.7315
SS21-51391^2021_08_17_08_52_49^^,0.5574,392.14,2,1,0.5201
SS21-51759^2021_08_18_10_22_04^^,0.6044,269.0,4,2,0.6594
SS21-51759^2021_08_19_08_13_25^^,0.4652,524.49,14,3,0.4624
SS21-52885^2021_08_24_14_18_14^^,0.0,920.83,3,1,0.2184
