stem,dice_detector,hd95,n_box,n_obj,dice_old_cellbox_zs
SS21-35913^2021_06_11_07_40_56^^,0.242,686.06,3,1,0.0
SS21-37921^2021_06_18_09_11_32^^,0.4844,583.86,6,1,0.7897
SS21-38563^2021_06_23_11_54_40^^,0.3833,189.82,10,1,0.0068
SS21-38576^2021_06_23_07_44_22^^,0.0003,1093.37,6,1,0.4739
SS21-38745^2021_06_22_15_45_07^^,0.9261,64.81,4,1,0.9217
SS21-40575^2021_07_01_07_44_16^^,0.6422,334.09,10,2,0.5483
SS21-40772^2021_06_30_15_43_25^^,0.9949,1.91,5,1,0.9917
SS21-41209^2021_07_02_09_01_22^^,0.9959,1.91,5,1,0.9945
SS21-42826^2021_07_09_08_20_44^^,0.0442,382.66,5,1,0.0402
SS21-42835^2021_07_09_08_52_52^^,0.0,1157.94,2,1,0.0
SS21-42835^2021_07_12_07_49_31^^,0.2476,911.07,5,1,0.4706
SS21-43481^2021_07_14_07_51_58^^,0.2725,769.87,8,2,0.0011
SS21-43481^2021_07_14_07_52_16^^,0.1019,1163.26,7,1,0.0
SS21-43484^2021_07_13_09_29_24^^,0.0,1255.33,1,2,0.1882
SS21-43484^2021_07_14_07_53_04^^,0.3602,1152.84,2,1,0.2494
SS21-43863^2021_07_15_15_51_38^^,0.7808,166.15,8,3,0.7276
SS21-45063^2021_07_19_15_44_32^^,0.9946,2.74,5,1,0.9968
SS21-45774^2021_07_22_08_22_02^^,0.144,228.89,4,1,0.096
SS21-49019^2021_08_06_09_30_04^^,0.3241,714.65,7,1,0.4178
SS21-49161^2021_08_06_07_29_12^^,0.8842,68.49,2,1,0.1437
SS21-49875^2021_08_10_07_39_45^^,0.7797,172.85,5,2,0.3693
SS21-50308^2021_08_11_09_07_21^^,0.9713,29.48,6,1,0.975
SS21-50526^2021_08_13_08_31_07^^,0.9875,13.39,7,1,0.9394
SS21-51288^2021_08_16_11_26_34^^,0.66,140.65,5,2,0.1844
SS21-51386^2021_08_17_09_15_10^^,0.842,281.84,3,3,0.7315
SS21-51391^2021_08_17_08_52_49^^,0.848,122.06,1,1,0.5201
SS21-51759^2021_08_18_10_22_04^^,0.6927,231.14,4,2,0.6594
SS21-51759^2021_08_19_08_13_25^^,0.8287,203.33,8,3,0.4624
SS21-52885^2021_08_24_14_18_14^^,0.2395,1056.14,5,1,0.2184
SS21-53209^2021_08_24_11_13_46^^,0.3066,681.44,11,1,0.3066
SS21-55242^2021_09_01_14_27_01^^,0.9442,42.22,1,1,0.948
SS21-55454^2021_09_02_14_32_50^^,0.9913,9.17,6,1,0.9919
SS21-57974^2021_09_15_09_12_17^^,0.9925,2.32,6,1,0.9977
SS21-58163^2021_09_15_14_32_34^^,0.1449,1125.85,3,1,0.0403
SS21-58317^2021_09_15_09_11_09^^,0.9418,91.68,7,1,0.8296
SS21-58538^2021_09_15_14_53_57^^,0.6792,209.5,8,1,0.242
SS21-58714^2021_09_16_10_36_53^1234^,0.0,1241.08,2,1,0.1304
SS21-58881^2021_09_16_09_38_46^^,0.3013,550.41,3,1,0.6856
SS21-60366^2021_09_27_15_01_19^^,0.9874,9.17,5,1,0.9975
SS21-60615^2021_09_29_08_26_27^^,0.2516,1287.62,11,1,0.1117
SS21-60938^2021_09_30_08_16_32^^,0.0475,1507.71,1,1,0.0367
SS21-60938^2021_09_30_14_06_04^^,0.0,836.78,1,1,0.0
SS21-62116^2021_10_06_08_23_06^^,0.1278,1304.31,1,2,0.7698
SS21-62426^2021_10_06_08_13_58^^,0.719,185.61,7,4,0.4671
SS22-02205^2022_01_12_09_37_05^^,0.8752,101.09,3,2,0.3733
SS22-04076^2022_01_19_13_16_26^^,0.6023,306.69,8,1,0.5028
SS22-05278^2022_01_25_08_57_19^^,0.844,338.43,6,1,1.0
SS22-05400^2022_01_25_09_57_25^^,0.4128,291.62,1,2,0.688
SS22-05688^2022_01_26_10_50_36^^,0.098,1091.4,1,1,0.2883
SS22-05688^2022_01_26_10_51_20^^,0.8227,172.9,8,2,0.4617
SS22-05688^2022_01_27_08_27_25^^,0.634,245.33,10,2,0.9506
SS22-05795^2022_01_26_14_30_24^^,0.663,450.02,6,4,0.4524
SS22-07198^2022_02_04_15_25_06^^,0.8607,180.69,8,2,0.6245
SS22-07226^2022_02_07_10_53_41^^,0.6113,417.31,2,1,0.9315
SS22-11842^2022_02_25_11_02_10^^,0.9785,110.44,6,2,0.9588
SS22-11929^2022_02_24_13_32_04^^,0.7777,754.08,1,2,0.0113
SS22-11929^2022_02_25_08_21_37^^,0.0,823.82,1,1,0.5911
SS22-13977^2022_03_08_13_53_19^^,0.6784,270.18,5,1,0.8857
SS22-15172^2022_03_16_08_58_17^^,0.9937,77.36,6,1,1.0
SS22-15203^2022_03_16_09_51_27^^,0.7817,203.51,6,1,1.0
SS22-15203^2022_03_16_09_51_38^^,0.4451,590.17,1,1,0.1094
SS22-15289^2022_03_16_08_21_57^^,0.6982,200.87,8,2,0.228
