stem,box_idx,x0,y0,x1,y1,box_area_px
SS21-33416^2021_06_01_08_23_25^^,0,1284.0,748.0,1758.0,1248.0,237000.0
SS21-33416^2021_06_01_08_23_25^^,1,1106.0,735.0,1737.0,1159.0,267544.0
SS21-33416^2021_06_01_08_23_25^^,2,1052.0,857.0,1616.0,1248.0,220524.0
SS21-33416^2021_06_01_08_23_25^^,3,1107.0,853.0,1751.0,1248.0,254380.0
SS21-33569^2021_06_01_09_14_18^^,0,967.0,626.0,1467.0,1075.0,224500.0
SS21-33569^2021_06_01_09_14_18^^,1,1225.0,345.0,1730.0,716.0,187355.0
SS21-33569^2021_06_01_09_14_18^^,2,1039.0,435.0,1592.0,1076.0,354473.0
SS21-33569^2021_06_01_09_14_18^^,3,851.0,686.0,1415.0,1224.0,303432.0
SS21-33569^2021_06_01_09_14_18^^,4,967.0,345.0,1641.0,803.0,308692.0
SS21-33569^2021_06_01_09_14_18^^,5,1345.0,345.0,1820.0,834.0,232275.0
SS21-34107^2021_06_03_09_04_34^^,0,952.0,607.0,1754.0,1106.0,400198.0
SS21-34107^2021_06_03_09_04_34^^,1,706.0,783.0,1341.0,1325.0,344170.0
SS21-34107^2021_06_03_09_04_34^^,2,958.0,778.0,1738.0,1325.0,426660.0
SS21-34107^2021_06_03_09_04_34^^,3,1144.0,607.0,1815.0,1234.0,420717.0
SS21-34115^2021_06_03_09_20_47^^,0,1295.0,360.0,1809.0,980.0,318680.0
SS21-34115^2021_06_03_09_20_47^^,1,1110.0,241.0,1754.0,638.0,255668.0
SS21-34115^2021_06_03_09_20_47^^,2,983.0,647.0,1795.0,1434.0,639044.0
SS21-34115^2021_06_03_09_20_47^^,3,1288.0,241.0,1809.0,666.0,221425.0
SS21-34115^2021_06_03_09_20_47^^,4,1072.0,378.0,1734.0,1076.0,462076.0
SS21-34460^2021_06_03_15_56_55^^,0,1067.0,484.0,1623.0,873.0,216284.0
SS21-34460^2021_06_03_15_56_55^^,1,845.0,484.0,1445.0,1021.0,322200.0
SS21-34460^2021_06_03_15_56_55^^,2,1152.0,484.0,1851.0,951.0,326433.0
