stem,n_comp,n_box,recall,seg_ceil,n_fp,auto_dice
SS22-02205^2022_01_12_09_37_05^^,3,3,1.0,0.8078,0,0.7223
SS22-49889^2022_08_09_08_33_37^^,3,6,0.6667,0.7871,0,0.6112
SS22-23641^2022_04_22_08_26_27^^,2,2,0.5,0.798,0,0.2679
SS23-61141^2023_09_13_08_18_40^^,2,2,1.0,0.9204,0,0.7279
SS22-45604^2022_07_22_08_32_16^^,2,6,0.5,0.955,0,0.5789
SS21-42835^2021_07_09_08_52_52^^,3,2,0.3333,0.6436,1,0.0558
SS21-34765^2021_06_04_16_31_12^^,4,8,0.75,0.8733,0,0.6198
SS21-53209^2021_08_24_11_13_46^^,2,11,1.0,0.93,0,0.7659
SS21-58163^2021_09_15_14_32_34^^,4,3,0.75,0.7323,2,0.3501
SS23-49481^2023_07_27_11_51_58^^^copy,3,2,0.3333,0.812,0,0.3003
SS23-18116^2023_03_21_14_05_37^^,3,8,0.6667,0.8659,0,0.8331
SS22-04076^2022_01_19_13_16_26^^,2,8,1.0,0.9381,0,0.488
SS22-55042^2022_08_30_13_59_29^^,2,12,1.0,0.8269,3,0.2532
SS23-18073^2023_03_21_08_36_21^^,4,3,0.5,0.7292,0,0.6787
SS23-12958^2023_02_23_09_42_23^^,2,6,1.0,0.5267,1,0.487
SS22-41080^2022_07_06_08_32_02^^,3,11,0.6667,0.8655,0,0.7698
SS23-19048^2023_03_23_14_21_11^^,4,14,1.0,0.7661,1,0.4668
SS22-49101^2022_08_04_11_08_19^^,5,9,0.4,0.8427,0,0.3723
SS21-60615^2021_09_29_08_26_27^^,3,11,1.0,0.8547,0,0.7911
SS21-60938^2021_09_30_08_16_32^^,2,1,0.0,0.7627,1,0.0
SS21-34765^2021_06_07_07_13_53^^,4,6,0.5,0.8324,0,0.5604
SS22-49101^2022_08_04_11_08_31^^,6,2,0.5,0.845,0,0.3213
SS21-35913^2021_06_11_07_40_56^^,3,3,0.6667,0.8137,0,0.5716
SS23-21408^2023_04_03_13_34_30^^,4,1,0.25,0.7409,0,0.1648
SS23-32996^2023_05_24_09_56_41^^,2,7,1.0,0.7238,0,0.5915
SS22-41080^2022_07_06_09_05_49^^,6,9,1.0,0.8731,0,0.7627
SS23-18116^2023_03_22_08_37_43^^,2,8,1.0,0.893,0,0.668
SS21-43481^2021_07_14_07_52_16^^,2,7,1.0,0.8108,0,0.3703
SS22-43857^2022_07_15_10_23_02^^,3,8,1.0,0.8151,0,0.321
SS21-35590^2021_06_09_10_24_16^^,2,10,1.0,0.9157,0,0.6895
SS21-41214^2021_07_05_07_36_15^^,2,13,1.0,0.822,5,0.2964
SS21-35590^2021_06_10_07_35_12^^,2,9,1.0,0.9123,0,0.6907
