n_obj,dice_auto,dice_ceiling,n_box
3,0.5993,0.8007,5
1,0.8838,0.8994,5
1,0.3289,0.8707,3
3,0.6248,0.8449,6
2,0.5162,0.8792,3
2,0.7482,0.8993,3
2,0.6512,0.8689,8
3,0.1906,0.6403,4
4,0.5017,0.8759,9
2,0.8097,0.8906,12
1,0.8618,0.8861,1
1,0.8289,0.8273,5
4,0.3572,0.8656,6
3,0.2553,0.8746,3
3,0.8515,0.8677,9
1,0.7855,0.7832,5
1,0.7035,0.7767,6
1,0.0235,0.5993,2
2,0.6696,0.8679,10
2,0.394,0.82,10
1,0.9328,0.922,8
4,0.6366,0.8592,3
2,0.2068,0.8019,2
3,0.7958,0.8231,12
4,0.2635,0.8573,2
5,0.5476,0.8672,10
3,0.7138,0.8179,11
2,0.2314,0.8569,2
4,0.4863,0.8607,10
1,0.4091,0.787,3
6,0.3845,0.8446,12
3,0.5472,0.8377,7
4,0.236,0.845,3
2,0.6762,0.8485,7
6,0.6113,0.8649,6
2,0.7178,0.868,8
1,0.9293,0.9273,7
2,0.3398,0.8546,5
1,0.4921,0.8985,6
1,0.3781,0.8553,3
1,0.9188,0.9156,7
3,0.6586,0.8067,6
1,0.8592,0.927,8
1,0.8156,0.821,3
1,0.5815,0.8573,6
1,0.869,0.8658,4
2,0.822,0.8799,9
1,0.8547,0.8571,4
2,0.2011,0.8704,11
2,0.8197,0.8796,8
