n_obj,dice_auto,dice_ceiling,n_box
3,0.5882,0.7887,5
1,0.8825,0.9215,5
1,0.3253,0.882,3
3,0.6278,0.8482,6
2,0.5201,0.9003,3
2,0.727,0.8744,3
2,0.6009,0.8683,8
3,0.1976,0.5685,4
4,0.4936,0.8592,9
2,0.7839,0.8715,12
1,0.8705,0.8818,1
1,0.8554,0.8554,5
4,0.3671,0.8669,6
3,0.2491,0.864,3
3,0.8528,0.878,9
1,0.8211,0.8164,5
1,0.6874,0.796,6
1,0.0233,0.5851,2
2,0.6627,0.8235,10
2,0.3844,0.8281,10
1,0.9443,0.9433,8
4,0.6454,0.8659,3
2,0.2281,0.7826,2
3,0.8069,0.8511,12
4,0.2628,0.8465,2
5,0.527,0.8751,10
3,0.6948,0.837,11
2,0.2489,0.8716,2
4,0.4946,0.835,10
1,0.3816,0.8522,3
6,0.3999,0.8598,12
3,0.5408,0.8296,7
4,0.2265,0.8425,3
2,0.6889,0.8565,7
6,0.6203,0.8724,6
2,0.7079,0.8898,8
1,0.9414,0.9405,7
2,0.3148,0.7975,5
1,0.4585,0.9042,6
1,0.363,0.8685,3
1,0.9413,0.9361,7
3,0.6454,0.8236,6
1,0.8534,0.9389,8
1,0.8287,0.87,3
1,0.5731,0.8385,6
1,0.872,0.8714,4
2,0.8248,0.8801,9
1,0.8641,0.8981,4
2,0.2038,0.8836,11
2,0.8021,0.8705,8
