n_obj,dice_auto,dice_ceiling,n_box
3,0.6261,0.8127,5
1,0.8866,0.9052,5
1,0.3836,0.9105,3
3,0.6379,0.872,6
2,0.4484,0.9101,3
2,0.7897,0.9221,3
2,0.6718,0.8919,8
3,0.1677,0.6552,4
4,0.4842,0.9113,9
2,0.789,0.8299,12
1,0.8531,0.902,1
1,0.8559,0.8667,5
4,0.3312,0.8939,6
3,0.2799,0.8939,3
3,0.8713,0.9019,9
1,0.8139,0.8312,5
1,0.7035,0.8028,6
1,0.0281,0.6052,2
2,0.6329,0.9207,10
2,0.3845,0.8449,10
1,0.9433,0.9495,8
4,0.6563,0.8786,3
2,0.2382,0.8496,2
3,0.8032,0.8493,12
4,0.278,0.8675,2
5,0.5138,0.8924,10
3,0.6933,0.809,11
2,0.2279,0.8651,2
4,0.4797,0.9072,10
1,0.3911,0.8114,3
6,0.3738,0.864,12
3,0.4862,0.7229,7
4,0.2531,0.9127,3
2,0.6365,0.8846,7
6,0.6146,0.8822,6
2,0.7043,0.8516,8
1,0.9396,0.94,7
2,0.3636,0.8133,5
1,0.4804,0.9117,6
1,0.4256,0.8628,3
1,0.9386,0.9401,7
3,0.6428,0.843,6
1,0.8549,0.947,8
1,0.8541,0.887,3
1,0.5718,0.8762,6
1,0.8742,0.8761,4
2,0.7695,0.9104,9
1,0.8748,0.8931,4
2,0.1837,0.9087,11
2,0.777,0.9208,8
