n_obj,dice_auto,dice_ceiling,n_box
3,0.6049,0.8158,5
1,0.8857,0.8903,5
1,0.3352,0.9049,3
3,0.6227,0.8634,6
2,0.4741,0.9019,3
2,0.7724,0.8971,3
2,0.6681,0.8711,8
3,0.1686,0.5972,4
4,0.4665,0.9042,9
2,0.7872,0.8842,12
1,0.8432,0.8953,1
1,0.8507,0.8616,5
4,0.3453,0.9006,6
3,0.2715,0.8921,3
3,0.8101,0.8755,9
1,0.8073,0.8233,5
1,0.6871,0.7885,6
1,0.0264,0.621,2
2,0.6299,0.9057,10
2,0.3948,0.8612,10
1,0.9489,0.9486,8
4,0.6503,0.8807,3
2,0.2406,0.8234,2
3,0.7965,0.8181,12
4,0.2896,0.8923,2
5,0.4683,0.8927,10
3,0.6835,0.832,11
2,0.2226,0.9087,2
4,0.4341,0.8948,10
1,0.5129,0.7906,3
6,0.3764,0.8464,12
3,0.5544,0.8572,7
4,0.247,0.908,3
2,0.5859,0.8785,7
6,0.6101,0.8632,6
2,0.695,0.8452,8
1,0.9385,0.9382,7
2,0.3447,0.8582,5
1,0.4876,0.8344,6
1,0.4048,0.8696,3
1,0.9373,0.9389,7
3,0.6389,0.8201,6
1,0.8551,0.9349,8
1,0.8497,0.8729,3
1,0.5718,0.8966,6
1,0.8723,0.8725,4
2,0.7973,0.9028,9
1,0.8656,0.8481,4
2,0.1864,0.8972,11
2,0.7983,0.9172,8
