n_obj,dice_auto,dice_ceiling,n_box
3,0.6173,0.8156,5
1,0.8834,0.9098,5
1,0.3429,0.9344,3
3,0.6119,0.8773,6
2,0.445,0.9114,3
2,0.7805,0.9218,3
2,0.6799,0.8825,8
3,0.1568,0.5966,4
4,0.4588,0.9118,9
2,0.7781,0.9076,12
1,0.8323,0.8921,1
1,0.8554,0.8646,5
4,0.3379,0.9125,6
3,0.2805,0.8922,3
3,0.796,0.9036,9
1,0.8171,0.8261,5
1,0.6745,0.7571,6
1,0.0286,0.6355,2
2,0.5986,0.9178,10
2,0.3841,0.865,10
1,0.9548,0.955,8
4,0.6566,0.8758,3
2,0.258,0.8551,2
3,0.8085,0.8429,12
4,0.3032,0.8975,2
5,0.4531,0.893,10
3,0.6604,0.8242,11
2,0.2144,0.9187,2
4,0.4216,0.9054,10
1,0.5334,0.7813,3
6,0.374,0.8516,12
3,0.5393,0.8393,7
4,0.2551,0.9194,3
2,0.5554,0.884,7
6,0.6124,0.8749,6
2,0.6881,0.8437,8
1,0.9396,0.9389,7
2,0.3489,0.8666,5
1,0.484,0.9083,6
1,0.4236,0.8688,3
1,0.9413,0.9408,7
3,0.6447,0.8105,6
1,0.8564,0.9353,8
1,0.8674,0.8779,3
1,0.5728,0.9034,6
1,0.8735,0.8721,4
2,0.7697,0.9093,9
1,0.8743,0.865,4
2,0.1765,0.9037,11
2,0.7742,0.9241,8
