epoch,loss_g,loss_d,val_dice
1,1.1956,0.2846,0.616
2,1.0382,0.1748,0.7615
3,0.9745,0.1042,0.7267
4,0.9229,0.0629,0.8156
5,0.8677,0.0443,0.8443
6,0.826,0.0309,0.8177
7,0.7916,0.0339,0.8653
8,0.7516,0.0374,0.8675
9,0.7452,0.0746,0.8609
10,0.7334,0.0396,0.8629
11,0.7228,0.0459,0.8628
12,0.7074,0.0258,0.8635
13,0.7126,0.0351,0.868
14,0.6925,0.0638,0.8548
15,0.687,0.0632,0.7978
16,0.6885,0.0436,0.8583
17,0.684,0.0287,0.8573
18,0.688,0.0315,0.8478
19,0.6628,0.0257,0.8583
20,0.6592,0.0339,0.8431
21,0.6601,0.0375,0.8389
22,0.6749,0.0384,0.8199
23,0.6639,0.0352,0.8494
24,0.6627,0.0551,0.8538
25,0.6467,0.0656,0.8605
26,0.6601,0.089,0.8296
27,0.6482,0.0226,0.8434
28,0.6418,0.0307,0.8519
29,0.6436,0.0419,0.8286
30,0.6366,0.0355,0.8634
31,0.6416,0.0798,0.852
32,0.644,0.0603,0.8529
33,0.6252,0.0672,0.855
34,0.6149,0.044,0.8508
35,0.6357,0.0449,0.8481
36,0.6108,0.0706,0.8464
37,0.6086,0.0357,0.8486
38,0.6076,0.026,0.8583
39,0.5997,0.0253,0.8561
40,0.6102,0.0391,0.855
41,0.6069,0.0634,0.8494
42,0.6052,0.0522,0.8513
43,0.5842,0.0498,0.8467
44,0.5926,0.0356,0.854
45,0.5867,0.0555,0.8521
46,0.5875,0.0603,0.8547
47,0.5804,0.0806,0.8488
48,0.5863,0.0399,0.856
49,0.5825,0.0371,0.8395
50,0.5711,0.0256,0.8549
51,0.5711,0.0611,0.8567
52,0.5755,0.0311,0.8537
53,0.5694,0.0376,0.8528
54,0.5706,0.0291,0.8551
55,0.5761,0.0255,0.8547
56,0.5797,0.0341,0.8548
57,0.5514,0.0451,0.8556
58,0.5584,0.0269,0.8556
59,0.564,0.0337,0.8558
60,0.5698,0.0321,0.8558
