epoch,loss_g,loss_d,val_dice
1,0.9725,0.2867,0.6528
2,0.8693,0.1758,0.699
3,0.8371,0.1115,0.7841
4,0.7901,0.0878,0.7975
5,0.7608,0.0467,0.8409
6,0.7072,0.0415,0.7667
7,0.6931,0.0441,0.8136
8,0.668,0.0266,0.8617
9,0.6365,0.0432,0.7709
10,0.6161,0.0389,0.8259
11,0.6012,0.031,0.842
12,0.5966,0.0268,0.8575
13,0.5837,0.0569,0.8635
14,0.5566,0.0629,0.8547
15,0.5611,0.0646,0.7792
16,0.5687,0.0339,0.8471
17,0.5532,0.032,0.8466
18,0.5702,0.0343,0.8256
19,0.5439,0.0591,0.8482
20,0.5425,0.0295,0.8271
21,0.541,0.0499,0.8283
22,0.5395,0.022,0.8353
23,0.538,0.025,0.8276
24,0.5413,0.0266,0.8391
25,0.5227,0.0392,0.8451
26,0.5392,0.0558,0.8249
27,0.5207,0.0336,0.823
28,0.5186,0.0458,0.8394
29,0.5275,0.0395,0.8311
30,0.5319,0.0195,0.84
31,0.5377,0.0097,0.8242
32,0.5198,0.0297,0.837
33,0.5008,0.0502,0.8374
34,0.503,0.0564,0.8306
35,0.5097,0.0407,0.8273
36,0.4887,0.036,0.8282
37,0.4928,0.0468,0.8291
38,0.4858,0.0705,0.8257
39,0.4807,0.0619,0.8387
40,0.4944,0.0609,0.8347
41,0.478,0.0699,0.8293
42,0.4894,0.059,0.83
43,0.4834,0.0346,0.8253
44,0.4777,0.0406,0.8289
45,0.4813,0.0272,0.8244
46,0.477,0.0285,0.8291
47,0.4808,0.029,0.8246
48,0.4821,0.0327,0.8352
49,0.4739,0.0422,0.8191
50,0.463,0.038,0.8333
51,0.4658,0.0457,0.8339
52,0.461,0.043,0.8325
53,0.461,0.0405,0.8296
54,0.4597,0.0641,0.8339
55,0.4741,0.0296,0.833
56,0.4654,0.029,0.8302
57,0.4527,0.0324,0.8321
58,0.4569,0.0256,0.8324
59,0.4577,0.036,0.832
60,0.4644,0.0288,0.8319
