n_obj,dice_auto,dice_ceiling,n_box
3,0.6153,0.8177,5
1,0.8856,0.9071,5
1,0.3445,0.9352,3
3,0.6112,0.8745,6
2,0.4467,0.9098,3
2,0.7775,0.8904,3
2,0.6762,0.8949,8
3,0.1551,0.5895,4
4,0.4569,0.9086,9
2,0.7781,0.9072,12
1,0.833,0.8911,1
1,0.8576,0.8634,5
4,0.3384,0.9123,6
3,0.2803,0.8939,3
3,0.7897,0.9052,9
1,0.8148,0.8236,5
1,0.6904,0.7546,6
1,0.0284,0.5986,2
2,0.6091,0.9133,10
2,0.3913,0.8666,10
1,0.9513,0.9498,8
4,0.6511,0.8847,3
2,0.2487,0.8399,2
3,0.8086,0.8513,12
4,0.3036,0.9034,2
5,0.4537,0.8949,10
3,0.6629,0.8313,11
2,0.2122,0.911,2
4,0.4183,0.9026,10
1,0.5315,0.7999,3
6,0.3775,0.8614,12
3,0.5559,0.8694,7
4,0.253,0.9193,3
2,0.5581,0.8856,7
6,0.6156,0.8859,6
2,0.6381,0.7278,8
1,0.9371,0.9375,7
2,0.3359,0.8634,5
1,0.4824,0.9304,6
1,0.4225,0.8739,3
1,0.9476,0.9402,7
3,0.6442,0.8206,6
1,0.8492,0.933,8
1,0.8423,0.8716,3
1,0.5728,0.8972,6
1,0.8733,0.8769,4
2,0.7754,0.9093,9
1,0.8679,0.9025,4
2,0.1779,0.9037,11
2,0.7808,0.9215,8
