epoch,loss_g,loss_d,val_dice
1,1.1837,0.0,0.685
2,0.9983,0.0,0.755
3,0.9486,0.0,0.7906
4,0.8915,0.0,0.7959
5,0.852,0.0,0.8406
6,0.8128,0.0,0.863
7,0.7704,0.0,0.8612
8,0.7223,0.0,0.8559
9,0.7107,0.0,0.8664
10,0.6901,0.0,0.848
11,0.6966,0.0,0.8594
12,0.6762,0.0,0.8577
13,0.6618,0.0,0.8565
14,0.6577,0.0,0.8597
15,0.6499,0.0,0.846
16,0.6428,0.0,0.8578
17,0.6314,0.0,0.8471
18,0.6238,0.0,0.8569
19,0.6347,0.0,0.86
20,0.6282,0.0,0.8574
21,0.6269,0.0,0.8606
22,0.605,0.0,0.8562
23,0.5978,0.0,0.855
24,0.5957,0.0,0.8623
25,0.6019,0.0,0.8574
26,0.5756,0.0,0.8587
27,0.5945,0.0,0.8521
28,0.5899,0.0,0.8477
29,0.5915,0.0,0.855
30,0.6084,0.0,0.8517
31,0.5858,0.0,0.8431
32,0.5718,0.0,0.8485
33,0.5793,0.0,0.8519
34,0.5666,0.0,0.8655
35,0.558,0.0,0.8521
36,0.5605,0.0,0.8538
37,0.5648,0.0,0.8499
38,0.56,0.0,0.8586
39,0.5539,0.0,0.8474
40,0.5378,0.0,0.8598
41,0.54,0.0,0.8532
42,0.5453,0.0,0.8548
43,0.5446,0.0,0.8577
44,0.5356,0.0,0.8572
45,0.5392,0.0,0.8576
46,0.5352,0.0,0.8553
47,0.5298,0.0,0.8574
48,0.5182,0.0,0.8582
49,0.5177,0.0,0.8599
50,0.5303,0.0,0.8573
51,0.5263,0.0,0.8542
52,0.5032,0.0,0.8486
53,0.5157,0.0,0.8507
54,0.5132,0.0,0.8527
55,0.5106,0.0,0.8542
56,0.5018,0.0,0.8539
57,0.5118,0.0,0.8552
58,0.5123,0.0,0.855
59,0.5091,0.0,0.8547
60,0.5181,0.0,0.8546
