n_obj,dice_auto,dice_ceiling,n_box
3,0.6356,0.8341,5
1,0.8853,0.8936,5
1,0.3793,0.9041,3
3,0.6518,0.8736,6
2,0.4562,0.9038,3
2,0.7739,0.904,3
2,0.6736,0.8761,8
3,0.1676,0.652,4
4,0.48,0.9057,9
2,0.8047,0.866,12
1,0.8497,0.8987,1
1,0.8443,0.8545,5
4,0.3368,0.8927,6
3,0.2759,0.8961,3
3,0.8513,0.8816,9
1,0.8003,0.816,5
1,0.6995,0.7934,6
1,0.0274,0.5917,2
2,0.6896,0.9003,10
2,0.3932,0.8396,10
1,0.9447,0.9436,8
4,0.6517,0.8738,3
2,0.2324,0.8437,2
3,0.8027,0.8401,12
4,0.2766,0.8706,2
5,0.5196,0.8875,10
3,0.7034,0.8212,11
2,0.2196,0.9082,2
4,0.4508,0.9061,10
1,0.4449,0.7809,3
6,0.381,0.8475,12
3,0.5524,0.832,7
4,0.2537,0.8842,3
2,0.6832,0.8696,7
6,0.6109,0.8686,6
2,0.7071,0.8707,8
1,0.9383,0.9374,7
2,0.3303,0.8031,5
1,0.4896,0.9117,6
1,0.4206,0.8582,3
1,0.9285,0.9344,7
3,0.6481,0.8257,6
1,0.8552,0.9389,8
1,0.837,0.866,3
1,0.5727,0.8551,6
1,0.8702,0.8705,4
2,0.7927,0.9066,9
1,0.8671,0.8836,4
2,0.1878,0.9041,11
2,0.7841,0.9194,8
