n_obj,dice_auto,dice_ceiling,n_box
3,0.6061,0.8182,5
1,0.8854,0.8952,5
1,0.3604,0.8996,3
3,0.6373,0.8799,6
2,0.4774,0.9044,3
2,0.7735,0.911,3
2,0.6599,0.8789,8
3,0.1692,0.6184,4
4,0.4688,0.907,9
2,0.8065,0.8921,12
1,0.844,0.8961,1
1,0.8503,0.8545,5
4,0.3469,0.9015,6
3,0.2714,0.8952,3
3,0.8289,0.8675,9
1,0.8025,0.8154,5
1,0.7047,0.7803,6
1,0.026,0.5751,2
2,0.6695,0.9049,10
2,0.3899,0.8472,10
1,0.9471,0.9436,8
4,0.652,0.879,3
2,0.237,0.8479,2
3,0.7993,0.8323,12
4,0.2852,0.8755,2
5,0.4936,0.8954,10
3,0.7071,0.8273,11
2,0.2209,0.9,2
4,0.4476,0.8977,10
1,0.4071,0.7955,3
6,0.3783,0.8522,12
3,0.5535,0.8452,7
4,0.2424,0.9095,3
2,0.6552,0.8762,7
6,0.6194,0.8765,6
2,0.7094,0.8579,8
1,0.9364,0.9358,7
2,0.3479,0.8543,5
1,0.4827,0.9013,6
1,0.4073,0.8748,3
1,0.9398,0.934,7
3,0.6489,0.8219,6
1,0.8638,0.9302,8
1,0.8453,0.8662,3
1,0.5753,0.8683,6
1,0.873,0.8731,4
2,0.7971,0.9032,9
1,0.8666,0.8578,4
2,0.1896,0.8981,11
2,0.7984,0.9114,8
