epoch,loss,alpha,val_dice
1,0.6614,0.99,0.6719
2,0.5894,0.98,0.746
3,0.548,0.97,0.7843
4,0.5153,0.96,0.8144
5,0.4793,0.95,0.7481
6,0.4642,0.94,0.8082
7,0.4197,0.93,0.8554
8,0.3898,0.92,0.8331
9,0.3729,0.91,0.8549
10,0.3721,0.9,0.8435
11,0.3753,0.89,0.8437
12,0.3446,0.88,0.8513
13,0.343,0.87,0.7896
14,0.3191,0.86,0.8242
15,0.3188,0.85,0.8617
16,0.3048,0.84,0.8319
17,0.2918,0.83,0.8264
18,0.2902,0.82,0.8538
19,0.2727,0.81,0.859
20,0.2797,0.8,0.8522
21,0.2766,0.79,0.8492
22,0.2691,0.78,0.8274
23,0.2607,0.77,0.8435
24,0.2516,0.76,0.8545
25,0.2451,0.75,0.8319
26,0.2397,0.74,0.8494
27,0.2327,0.73,0.8199
28,0.235,0.72,0.8473
29,0.2235,0.71,0.8313
30,0.2245,0.7,0.8422
31,0.2173,0.7,0.8112
32,0.2217,0.7,0.8308
33,0.2154,0.7,0.8136
34,0.2257,0.7,0.8233
35,0.2164,0.7,0.8289
36,0.2199,0.7,0.8336
37,0.2145,0.7,0.8425
38,0.2132,0.7,0.8227
39,0.2105,0.7,0.8252
40,0.2095,0.7,0.8298
41,0.2079,0.7,0.8439
42,0.2063,0.7,0.8335
43,0.2059,0.7,0.8269
44,0.2035,0.7,0.8176
45,0.2056,0.7,0.8321
46,0.2024,0.7,0.8216
47,0.2076,0.7,0.8363
48,0.2058,0.7,0.8265
49,0.1959,0.7,0.8457
50,0.204,0.7,0.8372
51,0.2008,0.7,0.8279
52,0.1974,0.7,0.8301
53,0.2031,0.7,0.827
54,0.1995,0.7,0.8347
55,0.1983,0.7,0.8374
56,0.1993,0.7,0.8295
57,0.1982,0.7,0.8296
58,0.1923,0.7,0.8318
59,0.1991,0.7,0.8315
60,0.1976,0.7,0.8315
