n_obj,dice_auto,dice_ceiling,n_box
3,0.626,0.8082,5
1,0.8852,0.9005,5
1,0.3398,0.9075,3
3,0.5994,0.8667,6
2,0.4104,0.9062,3
2,0.809,0.9093,3
2,0.6948,0.9066,8
3,0.1467,0.6084,4
4,0.4541,0.908,9
2,0.7808,0.9006,12
1,0.8147,0.8816,1
1,0.8622,0.8625,5
4,0.3215,0.9098,6
3,0.2839,0.8901,3
3,0.7953,0.9065,9
1,0.8112,0.8198,5
1,0.6801,0.7393,6
1,0.0308,0.6323,2
2,0.5944,0.9097,10
2,0.3792,0.8572,10
1,0.9502,0.9505,8
4,0.6594,0.869,3
2,0.2581,0.8568,2
3,0.7954,0.8295,12
4,0.3049,0.8639,2
5,0.4599,0.8874,10
3,0.6706,0.8304,11
2,0.2009,0.9123,2
4,0.4273,0.9058,10
1,0.4817,0.7779,3
6,0.3812,0.845,12
3,0.5405,0.8172,7
4,0.2524,0.9182,3
2,0.5695,0.888,7
6,0.6078,0.8768,6
2,0.6974,0.8702,8
1,0.9398,0.9392,7
2,0.3465,0.803,5
1,0.4665,0.9123,6
1,0.4496,0.8848,3
1,0.9456,0.9424,7
3,0.6431,0.8238,6
1,0.858,0.9416,8
1,0.8358,0.8721,3
1,0.5747,0.9098,6
1,0.8719,0.8747,4
2,0.7353,0.9033,9
1,0.8399,0.8649,4
2,0.1677,0.9053,11
2,0.7448,0.9117,8
