epoch,loss,alpha,val_dice
1,0.5068,0.99,0.6451
2,0.4571,0.98,0.6622
3,0.43,0.97,0.6835
4,0.3973,0.96,0.7523
5,0.3806,0.95,0.7128
6,0.3516,0.94,0.8585
7,0.3322,0.93,0.7965
8,0.3216,0.92,0.7899
9,0.3156,0.91,0.8442
10,0.309,0.9,0.8431
11,0.3076,0.89,0.8367
12,0.2986,0.88,0.8474
13,0.3028,0.87,0.7617
14,0.3049,0.86,0.8269
15,0.2885,0.85,0.8285
16,0.293,0.84,0.8101
17,0.2837,0.83,0.8337
18,0.2874,0.82,0.7983
19,0.2714,0.81,0.8171
20,0.2805,0.8,0.8304
21,0.2799,0.79,0.8255
22,0.2789,0.78,0.8145
23,0.2704,0.77,0.8183
24,0.2694,0.76,0.7991
25,0.2741,0.75,0.8141
26,0.2714,0.74,0.7966
27,0.2634,0.73,0.8164
28,0.2696,0.72,0.8316
29,0.2582,0.71,0.8134
30,0.2625,0.7,0.8263
31,0.2585,0.7,0.7942
32,0.2616,0.7,0.8111
33,0.2563,0.7,0.8045
34,0.2658,0.7,0.7969
35,0.2547,0.7,0.8101
36,0.2549,0.7,0.8179
37,0.2537,0.7,0.8139
38,0.2565,0.7,0.8125
39,0.252,0.7,0.8096
40,0.2557,0.7,0.8094
