epoch,loss,alpha,val_dice
1,0.9008,0.99,0.6439
2,0.8106,0.98,0.7278
3,0.7476,0.97,0.7803
4,0.7257,0.96,0.8071
5,0.6731,0.95,0.809
6,0.6407,0.94,0.8248
7,0.6039,0.93,0.856
8,0.5707,0.92,0.8451
9,0.572,0.91,0.8566
10,0.5683,0.9,0.8632
11,0.5608,0.89,0.8497
12,0.5302,0.88,0.8506
13,0.5402,0.87,0.8148
14,0.5194,0.86,0.8295
15,0.5279,0.85,0.8533
16,0.5052,0.84,0.8408
17,0.4948,0.83,0.8123
18,0.5023,0.82,0.8532
19,0.475,0.81,0.8512
20,0.496,0.8,0.8529
21,0.498,0.79,0.8535
22,0.4885,0.78,0.8131
23,0.4857,0.77,0.8489
24,0.4719,0.76,0.8447
25,0.4694,0.75,0.8353
26,0.4706,0.74,0.8459
27,0.4586,0.73,0.8262
28,0.4712,0.72,0.8518
29,0.4561,0.71,0.8245
30,0.4666,0.7,0.8429
31,0.4567,0.7,0.8033
32,0.4617,0.7,0.8318
33,0.4439,0.7,0.804
34,0.4717,0.7,0.8274
35,0.4449,0.7,0.8389
36,0.4534,0.7,0.8253
37,0.4432,0.7,0.8384
38,0.4412,0.7,0.8213
39,0.4369,0.7,0.8262
40,0.4326,0.7,0.8281
41,0.4291,0.7,0.8397
42,0.4265,0.7,0.8303
43,0.4278,0.7,0.8149
44,0.4216,0.7,0.8157
45,0.4224,0.7,0.8301
46,0.4176,0.7,0.819
47,0.4302,0.7,0.8306
48,0.4223,0.7,0.8172
49,0.4028,0.7,0.8345
50,0.4153,0.7,0.8266
51,0.412,0.7,0.8151
52,0.405,0.7,0.8159
53,0.4124,0.7,0.8123
54,0.4087,0.7,0.8229
55,0.4043,0.7,0.8265
56,0.4071,0.7,0.8135
57,0.4084,0.7,0.8136
58,0.3983,0.7,0.8172
59,0.4076,0.7,0.8163
60,0.4046,0.7,0.8163
