n_obj,dice_auto,dice_ceiling,n_box
3,0.6471,0.8148,5
1,0.8865,0.8963,5
1,0.342,0.9345,3
3,0.6252,0.8784,6
2,0.4221,0.9053,3
2,0.7988,0.8728,3
2,0.6763,0.8978,8
3,0.1551,0.6246,4
4,0.4731,0.9176,9
2,0.7861,0.8425,12
1,0.8252,0.8882,1
1,0.8527,0.8594,5
4,0.3244,0.9043,6
3,0.2824,0.8833,3
3,0.8467,0.904,9
1,0.8122,0.8231,5
1,0.7027,0.7834,6
1,0.0301,0.6032,2
2,0.6024,0.9107,10
2,0.3829,0.8459,10
1,0.9467,0.9449,8
4,0.6449,0.8737,3
2,0.2506,0.8409,2
3,0.8017,0.8495,12
4,0.2888,0.8774,2
5,0.4954,0.8934,10
3,0.6566,0.7888,11
2,0.2056,0.8939,2
4,0.4326,0.9166,10
1,0.4046,0.7707,3
6,0.3861,0.8568,12
3,0.5366,0.7501,7
4,0.2428,0.9221,3
2,0.5832,0.8899,7
6,0.6066,0.8647,6
2,0.6798,0.843,8
1,0.9382,0.9381,7
2,0.3479,0.8185,5
1,0.4733,0.8966,6
1,0.4471,0.846,3
1,0.93,0.9367,7
3,0.6493,0.849,6
1,0.8484,0.9303,8
1,0.8333,0.8669,3
1,0.5753,0.8436,6
1,0.8741,0.8791,4
2,0.7532,0.9064,9
1,0.8467,0.8788,4
2,0.1725,0.9029,11
2,0.7636,0.9233,8
