epoch,loss,alpha,val_dice
1,0.9208,0.99,0.6346
2,0.8356,0.98,0.484
3,0.774,0.97,0.7386
4,0.7399,0.96,0.6593
5,0.7105,0.95,0.7952
6,0.6679,0.94,0.8274
7,0.6317,0.93,0.8648
8,0.5864,0.92,0.6007
9,0.5884,0.91,0.7669
10,0.564,0.9,0.8615
11,0.566,0.89,0.8378
12,0.5632,0.88,0.861
13,0.5465,0.87,0.8374
14,0.5447,0.86,0.8422
15,0.5222,0.85,0.7935
16,0.5182,0.84,0.8436
17,0.5196,0.83,0.8153
18,0.4975,0.82,0.8359
19,0.5019,0.81,0.8333
20,0.5037,0.8,0.8299
21,0.4874,0.79,0.8198
22,0.4877,0.78,0.825
23,0.4828,0.77,0.8278
24,0.4863,0.76,0.8422
25,0.4829,0.75,0.8196
26,0.4755,0.74,0.8095
27,0.4607,0.73,0.8038
28,0.4627,0.72,0.7852
29,0.4721,0.71,0.7947
30,0.4615,0.7,0.8278
31,0.4632,0.7,0.8116
32,0.451,0.7,0.8368
33,0.4564,0.7,0.8125
34,0.4482,0.7,0.8312
35,0.459,0.7,0.8203
36,0.4456,0.7,0.825
37,0.4409,0.7,0.8256
38,0.4406,0.7,0.8114
39,0.4361,0.7,0.8206
40,0.4235,0.7,0.8167
41,0.4357,0.7,0.803
42,0.4338,0.7,0.8008
43,0.4365,0.7,0.8219
44,0.4256,0.7,0.829
45,0.4183,0.7,0.8332
46,0.4245,0.7,0.8203
47,0.4237,0.7,0.8232
48,0.4147,0.7,0.8064
49,0.4174,0.7,0.8092
50,0.4033,0.7,0.815
51,0.4128,0.7,0.8126
52,0.421,0.7,0.809
53,0.4068,0.7,0.8168
54,0.409,0.7,0.8085
55,0.4009,0.7,0.8116
56,0.4144,0.7,0.8105
57,0.42,0.7,0.8109
58,0.4095,0.7,0.8109
59,0.4095,0.7,0.8109
60,0.4079,0.7,0.8113
