n_obj,dice_auto,dice_ceiling,n_box
3,0.6251,0.8039,5
1,0.8857,0.9271,5
1,0.3965,0.9254,3
3,0.6396,0.8669,6
2,0.4555,0.9082,3
2,0.7854,0.918,3
2,0.6595,0.886,8
3,0.1738,0.6582,4
4,0.5058,0.8978,9
2,0.7992,0.9146,12
1,0.8418,0.8796,1
1,0.8534,0.8566,5
4,0.3395,0.8934,6
3,0.2738,0.8943,3
3,0.8615,0.9019,9
1,0.812,0.82,5
1,0.6983,0.7796,6
1,0.0258,0.5926,2
2,0.6519,0.9012,10
2,0.3933,0.8397,10
1,0.9429,0.9348,8
4,0.6584,0.8661,3
2,0.225,0.8391,2
3,0.8036,0.8575,12
4,0.2733,0.8841,2
5,0.5273,0.8846,10
3,0.7013,0.8119,11
2,0.2257,0.83,2
4,0.5037,0.9045,10
1,0.3791,0.7879,3
6,0.3828,0.8598,12
3,0.4978,0.7854,7
4,0.2467,0.856,3
2,0.6152,0.8817,7
6,0.6154,0.8884,6
2,0.7132,0.8867,8
1,0.9388,0.9429,7
2,0.3569,0.8542,5
1,0.4824,0.9241,6
1,0.4298,0.8572,3
1,0.9357,0.9343,7
3,0.6525,0.8436,6
1,0.8521,0.9444,8
1,0.8136,0.8676,3
1,0.5743,0.8547,6
1,0.8729,0.887,4
2,0.7699,0.9063,9
1,0.8648,0.8992,4
2,0.1832,0.9082,11
2,0.7751,0.9213,8
