n_obj,dice_auto,dice_ceiling,n_box
3,0.6257,0.8091,5
1,0.8858,0.9203,5
1,0.3787,0.9215,3
3,0.6274,0.8649,6
2,0.458,0.9103,3
2,0.7721,0.9122,3
2,0.6655,0.8837,8
3,0.1713,0.662,4
4,0.4956,0.91,9
2,0.7976,0.9132,12
1,0.8756,0.9058,1
1,0.8518,0.8539,5
4,0.3173,0.8921,6
3,0.2735,0.8933,3
3,0.8479,0.8999,9
1,0.8107,0.8167,5
1,0.6998,0.7767,6
1,0.0268,0.5845,2
2,0.6307,0.9034,10
2,0.3917,0.8448,10
1,0.9418,0.9314,8
4,0.6497,0.8692,3
2,0.2283,0.8365,2
3,0.8075,0.8529,12
4,0.2778,0.884,2
5,0.5131,0.8855,10
3,0.6663,0.8,11
2,0.2179,0.8977,2
4,0.447,0.91,10
1,0.4732,0.7897,3
6,0.3815,0.8591,12
3,0.5494,0.8473,7
4,0.2462,0.8928,3
2,0.59,0.8677,7
6,0.6173,0.8826,6
2,0.7141,0.8865,8
1,0.9388,0.9408,7
2,0.3516,0.8438,5
1,0.4932,0.9195,6
1,0.4177,0.8528,3
1,0.9357,0.9329,7
3,0.6521,0.8475,6
1,0.8522,0.942,8
1,0.8091,0.8639,3
1,0.5744,0.869,6
1,0.873,0.8821,4
2,0.7796,0.901,9
1,0.8702,0.8998,4
2,0.1832,0.9046,11
2,0.781,0.9148,8
