n_obj,dice_auto,dice_ceiling,n_box
3,0.597,0.7851,5
1,0.8566,0.9135,5
1,0.3327,0.8323,3
3,0.6423,0.8703,6
2,0.5286,0.8766,3
2,0.7251,0.8973,3
2,0.641,0.835,8
3,0.1943,0.6223,4
4,0.4928,0.8866,9
2,0.7819,0.8873,12
1,0.8604,0.8892,1
1,0.8579,0.8576,5
4,0.3673,0.8753,6
3,0.2542,0.8707,3
3,0.8393,0.8853,9
1,0.8336,0.8166,5
1,0.6821,0.7979,6
1,0.0224,0.6142,2
2,0.6459,0.866,10
2,0.3809,0.811,10
1,0.8972,0.9483,8
4,0.6461,0.8669,3
2,0.2309,0.8255,2
3,0.7878,0.8344,12
4,0.2705,0.8462,2
5,0.4922,0.8901,10
3,0.7029,0.8278,11
2,0.2492,0.8962,2
4,0.4746,0.8665,10
1,0.478,0.8095,3
6,0.3788,0.8502,12
3,0.538,0.8388,7
4,0.2437,0.8616,3
2,0.5784,0.8883,7
6,0.6187,0.8698,6
2,0.6986,0.8754,8
1,0.9422,0.9384,7
2,0.3308,0.8558,5
1,0.4651,0.8957,6
1,0.3656,0.8424,3
1,0.9284,0.9385,7
3,0.6346,0.8255,6
1,0.8005,0.9502,8
1,0.8371,0.8684,3
1,0.5663,0.8831,6
1,0.8762,0.8702,4
2,0.8295,0.8639,9
1,0.8936,0.8625,4
2,0.2055,0.8678,11
2,0.8286,0.8741,8
