epoch,loss,alpha,val_dice
1,0.7105,0.99,0.8098
2,0.5116,0.98,0.8285
3,0.4522,0.97,0.8444
4,0.4243,0.96,0.8221
5,0.3914,0.95,0.8274
6,0.3669,0.94,0.8375
7,0.3542,0.93,0.82
8,0.3414,0.92,0.8492
9,0.3256,0.91,0.8281
10,0.3236,0.9,0.8446
11,0.3171,0.89,0.8251
12,0.3026,0.88,0.8306
13,0.2983,0.87,0.846
14,0.2838,0.86,0.8147
15,0.2798,0.85,0.8326
16,0.2779,0.84,0.8209
17,0.2629,0.83,0.8144
18,0.263,0.82,0.8227
19,0.2479,0.81,0.8025
20,0.247,0.8,0.8355
21,0.2418,0.79,0.8313
22,0.2392,0.78,0.8266
23,0.2302,0.77,0.8114
24,0.2238,0.76,0.8169
25,0.2236,0.75,0.8477
26,0.2225,0.74,0.8126
27,0.2138,0.73,0.8067
28,0.2103,0.72,0.8308
29,0.2043,0.71,0.8482
30,0.2002,0.7,0.8341
31,0.1986,0.7,0.8285
32,0.192,0.7,0.819
33,0.1952,0.7,0.8104
34,0.1956,0.7,0.8193
35,0.1936,0.7,0.8456
36,0.1926,0.7,0.8229
37,0.1892,0.7,0.8354
38,0.1923,0.7,0.8202
39,0.1897,0.7,0.8388
40,0.1954,0.7,0.8104
41,0.1888,0.7,0.8162
42,0.1959,0.7,0.8256
43,0.1836,0.7,0.819
44,0.19,0.7,0.8091
45,0.1891,0.7,0.8218
46,0.187,0.7,0.8237
47,0.1837,0.7,0.8481
48,0.1875,0.7,0.8207
49,0.1849,0.7,0.8229
50,0.1839,0.7,0.8199
51,0.1771,0.7,0.8281
52,0.1818,0.7,0.8244
53,0.1863,0.7,0.823
54,0.1797,0.7,0.8266
55,0.1801,0.7,0.8244
56,0.1823,0.7,0.8204
57,0.1842,0.7,0.8184
58,0.1786,0.7,0.818
59,0.1815,0.7,0.8183
60,0.1836,0.7,0.8184
